K,test_accuracy
1,0.9666666666666667
2,0.9333333333333333
3,0.9333333333333333
4,0.9333333333333333
5,0.9333333333333333
6,0.9333333333333333
7,0.9666666666666667
8,0.9333333333333333
9,0.9666666666666667
10,0.9666666666666667
11,0.9666666666666667
12,0.9666666666666667
13,0.9666666666666667
14,0.9666666666666667
15,0.9666666666666667
16,0.9666666666666667
17,0.9666666666666667
18,0.9666666666666667
19,0.9666666666666667
20,0.9666666666666667
21,0.9666666666666667
22,0.9333333333333333
23,0.9333333333333333
24,0.9
25,0.9
26,0.8666666666666667
27,0.8666666666666667
28,0.8666666666666667
29,0.8666666666666667
30,0.8666666666666667
